
 ----------------------------------------------------------------------------------
 Nucleon Fermi momentum distrbutions
 Ref.[1]  M.Sandel, J.P.Vary and S.I.A.Garpman, Phys.Rev.C20(1979)744
 ----------------------------------------------------------------------------------

 Table IV of Ref.[1]
 Parameters of 6-Gaussian fits to Fermi momentum distributions in DDHF calculations

      Z   A    a1       a2       a3       a4       a5       a6      alpha    beta

 Li   3   7  0.00136  0.55408  0.47120 -0.00257 -0.01670 -0.00775  0.54610  1.7929
 C    6  12  0.00053 -0.15912  1.63130 -0.57563  0.25868 -0.15587  0.69179  1.4412
 O    8  16  0.06140 -0.38597  1.7283  -0.30007 -0.05410 -0.04974  0.59206  1.5428
 Ne  10  20  0.27545 -1.6987   4.5012  -2.8611   1.4123  -0.62929  0.99943  1.2808
 Al  13  27  20.438   15.309  -68.920   3.6431   53.851  -23.321   2.9282   1.0535
 Ar  18  40  0.16982 -0.98219  3.6344  -2.0668   0.16789  0.07685  0.68774  1.4962
 Ca  20  40  0.19124 -1.0843   3.8516  -2.3286   0.27005  0.10000  0.68917  1.5075
 Ni  28  58  0.52576 -3.2774   9.9235  -8.8435   2.9429  -0.27127  0.98507  1.3522
 Cu  29  63  0.30078 -1.8668   6.7733  -6.3020   2.4634  -0.36880  0.80010  1.4488
 Zr  40  90  0.97903 -6.5098   20.845  -24.207   12.250  -2.3576   1.2364   1.3151
 Sn  50 120  49.241  -290.23   683.21  -773.35   421.17  -89.037   2.2011   1.1258
 Pb  82 208  2.2745  -13.818   36.808  -40.447   19.868  -3.6855   1.2826   1.2804
 end  0   0  0        0        0        0        0        0        0        0
